date_time,operation,source_ip,destination_ip,source_port,destination_port
05/Apr/2012 18:27:42,Deny,10.32.0.100,172.28.29.21,80,1316
05/Apr/2012 18:28:10,Deny,10.32.0.100,172.28.29.171,80,1329
05/Apr/2012 18:28:10,Deny,10.32.0.100,172.28.29.20,80,1327
05/Apr/2012 18:28:10,Deny,10.32.0.100,172.28.29.7,80,1330
05/Apr/2012 18:28:10,Deny,10.32.0.100,172.28.29.6,80,1333
05/Apr/2012 18:28:23,Deny,10.32.0.100,172.28.29.178,80,1336
05/Apr/2012 18:28:31,Deny,10.32.0.100,172.28.29.24,80,1340
05/Apr/2012 18:28:31,Deny,10.32.0.100,172.28.29.177,80,1337
05/Apr/2012 18:32:15,Deny,10.32.0.100,172.28.29.22,80,1446
05/Apr/2012 18:32:22,Deny,10.32.0.100,172.28.29.28,80,1455
05/Apr/2012 18:32:43,Deny,10.32.0.100,172.28.29.24,80,1460
05/Apr/2012 18:36:13,Deny,10.32.0.100,172.28.29.0,80,1565
05/Apr/2012 18:36:56,Deny,10.32.0.100,172.28.29.3,80,1577
05/Apr/2012 18:36:56,Deny,10.32.0.100,172.28.29.178,80,1582
05/Apr/2012 18:40:05,Deny,10.32.0.100,172.28.29.27,80,1675
05/Apr/2012 18:40:18,Deny,10.32.0.100,172.28.29.9,80,1676
05/Apr/2012 18:40:26,Deny,10.32.0.100,172.28.29.0,80,1684
05/Apr/2012 18:40:26,Deny,10.32.0.100,172.28.29.171,80,1682
05/Apr/2012 18:40:47,Deny,10.32.0.100,172.28.29.177,80,1695
05/Apr/2012 18:41:08,Deny,10.32.0.100,172.28.29.178,80,1704
05/Apr/2012 18:41:08,Deny,10.32.0.100,172.28.29.7,80,1698
05/Apr/2012 18:43:35,Deny,10.32.0.100,172.28.29.3,80,1777
05/Apr/2012 18:43:36,Deny,10.32.0.100,172.28.29.6,80,1775
05/Apr/2012 18:43:36,Deny,10.32.0.100,172.28.29.78,80,1770
05/Apr/2012 18:43:56,Deny,10.32.0.100,172.28.29.7,80,1782
05/Apr/2012 18:44:53,Deny,10.32.0.100,172.28.29.20,80,1808
05/Apr/2012 18:45:21,Deny,10.32.0.100,172.28.29.170,80,1825
05/Apr/2012 18:47:48,Deny,10.32.0.100,172.28.29.79,80,1893
05/Apr/2012 18:47:48,Deny,10.32.0.100,172.28.29.176,80,1889
05/Apr/2012 18:47:48,Deny,10.32.0.100,172.28.29.24,80,1897
05/Apr/2012 18:47:48,Deny,10.32.0.100,172.28.29.0,80,1895
05/Apr/2012 18:48:30,Deny,10.32.0.100,172.28.29.26,80,1915
05/Apr/2012 18:49:12,Deny,10.32.0.100,172.28.29.178,80,1931
05/Apr/2012 18:50:36,Deny,10.32.0.100,172.28.29.27,80,1977
05/Apr/2012 18:52:01,Deny,10.32.0.100,172.28.29.0,80,2010
05/Apr/2012 18:52:21,Deny,10.32.0.100,172.28.29.8,80,2026
05/Apr/2012 18:52:21,Deny,10.32.0.100,172.28.29.171,80,2023
05/Apr/2012 18:52:22,Deny,10.32.0.100,172.28.29.29,80,2021
05/Apr/2012 18:55:02,Deny,10.32.0.100,172.28.29.9,80,2098
05/Apr/2012 18:55:10,Deny,10.32.0.100,172.28.29.20,80,2105
05/Apr/2012 18:55:10,Deny,10.32.0.100,172.28.29.0,80,2100
05/Apr/2012 18:55:10,Deny,10.32.0.100,172.28.29.79,80,2104
05/Apr/2012 18:55:10,Deny,10.32.0.100,172.28.29.176,80,2101
05/Apr/2012 18:55:23,Deny,10.32.0.100,172.28.29.8,80,2108
05/Apr/2012 18:55:31,Deny,10.32.0.100,172.28.29.172,80,2116
05/Apr/2012 18:55:31,Deny,10.32.0.100,172.28.29.29,80,2115
05/Apr/2012 18:55:44,Deny,10.32.0.100,172.28.29.23,80,2118
05/Apr/2012 18:55:52,Deny,10.32.0.100,172.28.29.174,80,2121
05/Apr/2012 18:55:52,Deny,10.32.0.100,172.28.29.178,80,2123
05/Apr/2012 18:57:58,Deny,10.32.0.100,172.28.29.27,80,2187
05/Apr/2012 18:58:11,Deny,10.32.0.100,172.28.29.9,80,2188
05/Apr/2012 18:58:19,Deny,10.32.0.100,172.28.29.78,80,2192
05/Apr/2012 18:58:19,Deny,10.32.0.100,172.28.29.25,80,2194
05/Apr/2012 18:58:19,Deny,10.32.0.100,172.28.29.0,80,2189
05/Apr/2012 18:58:20,Deny,10.32.0.100,172.28.29.20,80,2193
05/Apr/2012 18:59:43,Deny,10.32.0.100,172.28.29.173,80,2232
05/Apr/2012 18:59:43,Deny,10.32.0.100,172.28.29.172,80,2236
05/Apr/2012 18:59:43,Deny,10.32.0.100,172.28.29.174,80,2237
05/Apr/2012 19:02:11,Deny,10.32.0.100,172.28.29.6,80,2307
05/Apr/2012 19:02:32,Deny,10.32.0.100,172.28.29.9,80,2310
05/Apr/2012 19:02:53,Deny,10.32.0.100,172.28.29.174,80,2325
05/Apr/2012 19:02:53,Deny,10.32.0.100,172.28.29.79,80,2324
05/Apr/2012 19:02:53,Deny,10.32.0.100,172.28.29.3,80,2323
05/Apr/2012 19:02:53,Deny,10.32.0.100,172.28.29.25,80,2321
05/Apr/2012 19:03:14,Deny,10.32.0.100,172.28.29.177,80,2334
05/Apr/2012 19:03:14,Deny,10.32.0.100,172.28.29.172,80,2330
05/Apr/2012 19:05:20,Deny,10.32.0.100,172.28.29.9,80,2397
05/Apr/2012 19:05:41,Deny,10.32.0.100,172.28.29.24,80,2402
05/Apr/2012 19:05:42,Deny,10.32.0.100,172.28.29.78,80,2406
05/Apr/2012 19:05:42,Deny,10.32.0.100,172.28.29.0,80,2401
05/Apr/2012 19:05:42,Deny,10.32.0.100,172.28.29.25,80,2405
05/Apr/2012 19:06:02,Deny,10.32.0.100,172.28.29.21,80,2411
05/Apr/2012 19:06:03,Deny,10.32.0.100,172.28.29.79,80,2413
05/Apr/2012 19:06:24,Deny,10.32.0.100,172.28.29.178,80,2423
05/Apr/2012 19:08:51,Deny,10.32.0.100,172.28.29.7,80,2499
05/Apr/2012 19:09:12,Deny,10.32.0.100,172.28.29.79,80,2502
05/Apr/2012 19:09:12,Deny,10.32.0.100,172.28.29.29,80,2501
05/Apr/2012 19:09:12,Deny,10.32.0.100,172.28.29.175,80,2503
05/Apr/2012 19:09:25,Deny,10.32.0.100,172.28.29.21,80,2510
05/Apr/2012 19:10:15,Deny,10.32.0.100,172.28.29.178,80,2540
05/Apr/2012 19:10:15,Deny,10.32.0.100,172.28.29.28,80,2538
05/Apr/2012 19:10:36,Deny,10.32.0.100,172.28.29.170,80,2548
05/Apr/2012 19:11:52,Deny,10.32.0.100,172.28.29.27,80,2580
05/Apr/2012 19:12:00,Deny,10.32.0.100,172.28.29.175,80,2587
05/Apr/2012 19:13:45,Deny,10.32.0.100,172.28.29.29,80,2634
05/Apr/2012 19:13:45,Deny,10.32.0.100,172.28.29.178,80,2635
