group,variable,value
MySQL,IP Range 1,30
MySQL,IP Range 2,95
MySQL,IP Range 3,22
MySQL,IP Range 4,14
MySQL,IP Range 5,59
MySQL,IP Range 6,52
A,v7,88
A,v8,20
A,v9,99
A,v10,66
MSSQL,IP Range 1,37
MSSQL,IP Range 2,50
MSSQL,IP Range 3,81
MSSQL,IP Range 4,79
MSSQL,IP Range 5,84
MSSQL,IP Range 6,91
B,v7,82
B,v8,89
B,v9,6
B,v10,67
PostgreSQL,IP Range 1,96
PostgreSQL,IP Range 2,13
PostgreSQL,IP Range 3,98
PostgreSQL,IP Range 4,10
PostgreSQL,IP Range 5,86
PostgreSQL,IP Range 6,23
C,v7,74
C,v8,47
C,v9,73
C,v10,40
Oracle,IP Range 1,75
Oracle,IP Range 2,18
Oracle,IP Range 3,92
Oracle,IP Range 4,43
Oracle,IP Range 5,16
Oracle,IP Range 6,27
D,v7,76
D,v8,24
D,v9,1
D,v10,87
Others,IP Range 1,44
Others,IP Range 2,29
Others,IP Range 3,58
Others,IP Range 4,55
Others,IP Range 5,65
Others,IP Range 6,56
E,v7,9
E,v8,78
E,v9,49
E,v10,36
,,
,,
,,
,,
,,
,,
F,v7,17
F,v8,41
F,v9,33
F,v10,11
,,
,,
,,
,,
,,
,,
G,v7,61
G,v8,54
G,v9,38
G,v10,93
,,
,,
,,
,,
,,
,,
H,v7,51
H,v8,28
H,v9,42
H,v10,7
,,
,,
,,
,,
,,
,,
I,v7,34
I,v8,68
I,v9,57
I,v10,32
,,
,,
,,
,,
,,
,,
J,v7,4
J,v8,12
J,v9,97
J,v10,72
